node1	node2	provenance
RYBP	PHC3	pathways
RYBP	PHC1	pathways
RYBP	RING1	pathways
RYBP	PCGF2	pathways
RYBP	RNF2	pathways
RYBP	L3MBTL2	pathways
RYBP	PCGF6	pathways
CDKN1A	CDK4	pathways
CDKN1A	CDK6	pathways
CDKN1A	CCND1	pathways
CDKN1A	CDK2	pathways
CDKN1A	CKS1B	pathways
CDKN1A	SKP2	pathways
CDKN1A	SKP1	pathways
CDKN1A	CUL1	pathways
CDKN1A	CCNE2	pathways
CDKN1A	CCNE1	pathways
CDKN1A	AKT1	pathways
CDKN1A	CCNH	pathways
CDKN1A	MNAT1	pathways
CDKN1A	CDK7	pathways
CDKN1A	TFDP1	pathways
CDKN1A	TFDP2	pathways
CDKN1A	RBL1	pathways
CDKN1A	RB1	pathways
CDKN1A	RBL2	pathways
CDKN1A	E2F5	pathways
BRCA1	BLM	pathways
BRCA1	RMI2	pathways
BRCA1	NBN	pathways
BRCA1	MRE11	pathways
BRCA1	ATM	pathways
BRCA1	RMI1	pathways
BRCA1	WRN	pathways
BRCA1	EXO1	pathways
BRCA1	TOP3A	pathways
BRCA1	RAD50	pathways
BRCA1	KAT5	pathways
BRCA1	BRIP1	pathways
BRCA1	ATR	pathways
BRCA1	ATRIP	pathways
BRCA1	RBBP8	pathways
BRCA1	BRCA2	pathways
BRCA1	RAD51	pathways
BRCA1	RAD51AP1	pathways
BRCA1	BARD1	pathways
BRCA1	RPA3	pathways
BRCA1	RPA1	pathways
BRCA1	RPA2	pathways
BRCA1	H2AX	pathways
VCP	UFD1	pathways
VCP	NPLOC4	pathways
VCP	RPA1	pathways
VCP	RPA2	pathways
VCP	RPA3	pathways
VCP	PCNA	pathways
VCP	RBX1	pathways
VCP	CUL3	pathways
CUL3	CAND1	pathways
CUL3	RBX1	pathways
CUL3	NEDD8	pathways
CUL3	UFD1	pathways
CUL3	NPLOC4	pathways
CDK1	CCNA1	pathways
CDK1	CCNA2	pathways
CDK1	CCNB1	pathways
CDK1	CCNB2	pathways
CDK1	MNAT1	pathways
CDK1	CDK7	pathways
CDK1	CCNH	pathways
CDK1	PKMYT1	pathways
TFDP1	RB1	pathways
TFDP1	SP1	pathways
TFDP1	E2F1	pathways
TFDP1	E2F2	pathways
TFDP1	E2F5	pathways
TFDP1	RBL2	pathways
TFDP1	E2F6	pathways
TFDP1	MGA	pathways
TFDP1	MAX	pathways
TFDP1	EHMT1	pathways
TFDP1	EHMT2	pathways
TFDP1	PCGF6	pathways
TFDP1	L3MBTL2	pathways
TFDP1	RING1	pathways
TFDP1	CBX3	pathways
TFDP1	RNF2	pathways
TFDP1	YAF2	pathways
TFDP1	HDAC1	pathways
TFDP1	RBL1	pathways
TFDP1	CDK2	pathways
TFDP1	SMAD3	pathways
TFDP1	SMAD2	pathways
TFDP1	SMAD4	pathways
TFDP1	TP53	pathways
TFDP1	CCND1	pathways
TFDP1	CCND3	pathways
TFDP1	CCND2	pathways
TFDP1	CDK6	pathways
TFDP1	CDKN1B	pathways
TFDP1	CDK4	pathways
WDR20	USP12	pathways
WDR20	WDR48	pathways
WDR20	AR	pathways
PRIM1	POLA2	pathways
PRIM1	POLA1	pathways
PRIM1	POLE4	pathways
PRIM1	POLE	pathways
PRIM1	POLE3	pathways
PRIM1	POLE2	pathways
PRIM1	PRIM2	pathways
PRIM1	POLD2	pathways
PRIM1	POLD1	pathways
PRIM1	POLD4	pathways
PRIM1	POLD3	pathways
PRIM1	RPA2	pathways
PRIM1	RPA3	pathways
PRIM1	RPA1	pathways
PRIM1	PCNA	pathways
PRIM1	FEN1	pathways
TOP3A	BARD1	pathways
TOP3A	RBBP8	pathways
TOP3A	KAT5	pathways
TOP3A	RAD50	pathways
TOP3A	NBN	pathways
TOP3A	BRIP1	pathways
TOP3A	MRE11	pathways
TOP3A	ATM	pathways
TOP3A	ATR	pathways
TOP3A	ATRIP	pathways
TOP3A	RMI2	pathways
TOP3A	BLM	pathways
TOP3A	RMI1	pathways
TOP3A	RPA3	pathways
TOP3A	RPA2	pathways
TOP3A	RPA1	pathways
CUL1	BTRC	pathways
CUL1	RBX1	pathways
CUL1	SKP1	pathways
CUL1	CAND1	pathways
CUL1	SKP2	pathways
CUL1	CKS1B	pathways
CUL1	CDKN1B	pathways
CUL1	CCNE1	pathways
CUL1	CDK2	pathways
CUL1	CCNE2	pathways
CUL1	NEDD8	pathways
CUL1	RBL2	pathways
RPA1	POLD3	pathways
RPA1	POLD4	pathways
RPA1	PCNA	pathways
RPA1	POLD2	pathways
RPA1	POLD1	pathways
RPA1	FEN1	pathways
RPA1	APEX1	pathways
RPA1	ATRIP	pathways
RPA1	ATR	pathways
RPA1	MCM4	pathways
RPA1	CDC6	pathways
RPA1	MCM2	pathways
RPA1	MCM7	pathways
RPA1	MCM6	pathways
RPA1	CDK2	pathways
RPA1	FANCD2	pathways
RPA1	FANCI	pathways
RPA1	ERCC1	pathways
RPA1	ERCC4	pathways
RPA1	ERCC5	pathways
RPA1	LIG1	pathways
RPA1	WDR48	pathways
RPA1	USP1	pathways
RPA1	NPLOC4	pathways
RPA1	UFD1	pathways
RPA1	POLA1	pathways
RPA1	PRIM2	pathways
RPA1	POLA2	pathways
RPA1	CUL4B	pathways
RPA1	RBX1	pathways
RPA1	DDB1	pathways
RPA1	CUL4A	pathways
RPA1	RPA2	pathways
RPA1	RPA3	pathways
RPA1	RPA4	pathways
RPA1	NBN	pathways
RPA1	RBBP8	pathways
RPA1	RMI1	pathways
RPA1	WRN	pathways
RPA1	ATM	pathways
RPA1	BRIP1	pathways
RPA1	BARD1	pathways
RPA1	KAT5	pathways
RPA1	RMI2	pathways
RPA1	RAD50	pathways
RPA1	BLM	pathways
RPA1	EXO1	pathways
RPA1	MRE11	pathways
RPA1	HUS1	pathways
RPA1	RAD1	pathways
RPA1	RAD9A	pathways
RPA1	RAD9B	pathways
RPA1	LIG3	pathways
RPA1	XRCC1	pathways
RPA1	POLB	pathways
RB1	E2F1	pathways
RB1	TFDP2	pathways
RB1	SKP2	pathways
RB1	E2F2	pathways
RB1	CDK4	pathways
RB1	CCND2	pathways
RB1	CDKN1B	pathways
RB1	CDK6	pathways
RB1	CCND1	pathways
RB1	CCND3	pathways
RB1	CDK2	pathways
FEN1	RPA3	pathways
FEN1	POLD1	pathways
FEN1	PCNA	pathways
FEN1	POLD2	pathways
FEN1	APEX1	pathways
FEN1	POLD4	pathways
FEN1	POLD3	pathways
FEN1	RPA2	pathways
FEN1	RAD50	pathways
FEN1	PARP1	pathways
FEN1	MRE11	pathways
FEN1	RBBP8	pathways
FEN1	NBN	pathways
FEN1	POLB	pathways
FEN1	PRIM2	pathways
FEN1	POLA1	pathways
FEN1	POLA2	pathways
CDKN2D	CDK4	pathways
