node1	node2	provenance
COL4A5	COL4A1	pathways
COL4A5	COL4A6	pathways
COL4A5	COL4A4	pathways
COL4A5	COL4A3	pathways
FN1	BCAR1	pathways
FN1	CRK	pathways
FN1	SRC	pathways
FN1	ITGA2B	pathways
FN1	TLN1	pathways
FN1	GRB2	pathways
FN1	SOS1	pathways
FN1	ITGB1	pathways
FN1	ITGA5	pathways
FN1	PTK2	pathways
FN1	TNC	pathways
FN1	SHC1	pathways
RMI2	BRCA1	pathways
RMI2	NBN	pathways
RMI2	BRIP1	pathways
RMI2	RBBP8	pathways
RMI2	BARD1	pathways
RMI2	MRE11	pathways
RMI2	KAT5	pathways
RMI2	RAD50	pathways
RMI2	ATM	pathways
RMI2	ATRIP	pathways
RMI2	ATR	pathways
RMI2	TOP3A	pathways
RMI2	BLM	pathways
RMI2	RMI1	pathways
RMI2	RPA3	pathways
RMI2	RPA2	pathways
RMI2	RPA1	pathways
RMI2	XRCC3	pathways
RMI2	RAD51C	pathways
RPA3	POLD2	pathways
RPA3	PCNA	pathways
RPA3	POLD1	pathways
RPA3	POLD4	pathways
RPA3	POLD3	pathways
RPA3	FEN1	pathways
RPA3	ATRIP	pathways
RPA3	ATR	pathways
RPA3	MCM2	pathways
RPA3	MCM3	pathways
RPA3	MCM7	pathways
RPA3	MCM4	pathways
RPA3	CDK2	pathways
RPA3	MCM6	pathways
RPA3	MCM5	pathways
RPA3	MCM10	pathways
RPA3	FANCI	pathways
RPA3	FANCD2	pathways
RPA3	ERCC4	pathways
RPA3	LIG1	pathways
RPA3	WDR48	pathways
RPA3	USP1	pathways
RPA3	POLA1	pathways
RPA3	PRIM2	pathways
RPA3	PRIM1	pathways
RPA3	POLA2	pathways
RPA3	RPA2	pathways
RPA3	RPA1	pathways
RPA3	RPA4	pathways
RPA3	BRCA1	pathways
RPA3	NBN	pathways
RPA3	MRE11	pathways
RPA3	EXO1	pathways
RPA3	TOP3A	pathways
RPA3	RMI1	pathways
RPA3	ATM	pathways
RPA3	BARD1	pathways
RPA3	RAD50	pathways
RPA3	WRN	pathways
RPA3	KAT5	pathways
RPA3	RBBP8	pathways
RPA3	BRIP1	pathways
RPA3	BLM	pathways
RPA3	RAD9A	pathways
RPA3	HUS1	pathways
RPA3	RAD1	pathways
RPA3	RAD9B	pathways
RPA3	LIG3	pathways
RPA3	XRCC1	pathways
RPA3	POLB	pathways
THBS1	ITGA4	pathways
THBS1	ITGB1	pathways
THBS1	ITGA3	pathways
THBS1	ITGA2B	pathways
THBS1	PDGFB	pathways
POLB	FEN1	pathways
POLB	LIG1	pathways
POLB	XRCC1	pathways
POLB	LIG3	pathways
POLB	PNKP	pathways
POLB	NEIL1	pathways
POLB	PARP1	pathways
POLB	PCNA	pathways
POLB	POLD2	pathways
POLB	POLD3	pathways
POLB	RPA1	pathways
POLB	POLD4	pathways
POLB	RPA2	pathways
POLB	POLD1	pathways
PDGFB	SPP1	pathways
PDGFB	PDGFRA	pathways
PDGFB	PDGFRB	pathways
PDGFB	CRKL	pathways
PDGFB	CRK	pathways
PDGFB	RAPGEF1	pathways
PDGFB	BCAR1	pathways
PDGFB	GRB2	pathways
PDGFB	SOS1	pathways
PDGFB	SRC	pathways
PDGFB	PIK3R1	pathways
PDGFB	PLCG1	pathways
PDGFB	PTPN11	pathways
RPA1	POLD3	pathways
RPA1	POLD4	pathways
RPA1	PCNA	pathways
RPA1	POLD2	pathways
RPA1	POLD1	pathways
RPA1	FEN1	pathways
RPA1	ATRIP	pathways
RPA1	ATR	pathways
RPA1	MCM4	pathways
RPA1	MCM2	pathways
RPA1	MCM5	pathways
RPA1	MCM7	pathways
RPA1	MCM6	pathways
RPA1	CDK2	pathways
RPA1	MCM3	pathways
RPA1	MCM10	pathways
RPA1	FANCD2	pathways
RPA1	FANCI	pathways
RPA1	ERCC4	pathways
RPA1	LIG1	pathways
RPA1	WDR48	pathways
RPA1	USP1	pathways
RPA1	POLA1	pathways
RPA1	PRIM2	pathways
RPA1	POLA2	pathways
RPA1	PRIM1	pathways
RPA1	RPA2	pathways
RPA1	RPA4	pathways
RPA1	NBN	pathways
RPA1	RBBP8	pathways
RPA1	RMI1	pathways
RPA1	WRN	pathways
RPA1	BRCA1	pathways
RPA1	ATM	pathways
RPA1	BRIP1	pathways
RPA1	BARD1	pathways
RPA1	TOP3A	pathways
RPA1	KAT5	pathways
RPA1	RAD50	pathways
RPA1	BLM	pathways
RPA1	EXO1	pathways
RPA1	MRE11	pathways
RPA1	HUS1	pathways
RPA1	RAD1	pathways
RPA1	RAD9A	pathways
RPA1	RAD9B	pathways
RPA1	LIG3	pathways
RPA1	XRCC1	pathways
ADAM15	CDH1	pathways
POLD4	RPA2	pathways
POLD4	FEN1	pathways
POLD4	POLD3	pathways
POLD4	POLD1	pathways
POLD4	POLD2	pathways
POLD4	LIG1	pathways
POLD4	PCNA	pathways
POLD4	PRIM2	pathways
POLD4	POLA2	pathways
POLD4	PRIM1	pathways
POLD4	POLA1	pathways
POLD4	XRCC1	pathways
POLD4	LIG3	pathways
RAD51AP1	BARD1	pathways
RAD51AP1	BRCA2	pathways
RAD51AP1	PALB2	pathways
RAD51AP1	BRCA1	pathways
RAD51AP1	RAD51	pathways
RAD51AP1	RBBP8	pathways
RAD51AP1	RAD51B	pathways
RAD51AP1	XRCC2	pathways
RAD51AP1	RAD51D	pathways
RAD51AP1	RAD51C	pathways
MRE11	ATM	pathways
MRE11	KAT5	pathways
MRE11	BRIP1	pathways
MRE11	BRCA1	pathways
MRE11	BARD1	pathways
MRE11	WRN	pathways
MRE11	RMI1	pathways
MRE11	EXO1	pathways
MRE11	BLM	pathways
MRE11	RBBP8	pathways
MRE11	TOP3A	pathways
MRE11	ATRIP	pathways
MRE11	ATR	pathways
MRE11	FEN1	pathways
MRE11	PARP1	pathways
MRE11	TP53BP1	pathways
MRE11	DCLRE1C	pathways
MRE11	PAXIP1	pathways
MRE11	H2AX	pathways
MRE11	CDK2	pathways
MRE11	MDC1	pathways
MRE11	RNF8	pathways
MRE11	LIG3	pathways
MRE11	XRCC1	pathways
MRE11	RAD50	pathways
MRE11	NBN	pathways
MRE11	RPA2	pathways
MRE11	XRCC5	pathways
MRE11	XRCC6	pathways
EXO1	ATM	pathways
EXO1	RBBP8	pathways
EXO1	BARD1	pathways
EXO1	BRCA1	pathways
EXO1	RAD50	pathways
EXO1	KAT5	pathways
EXO1	BRIP1	pathways
EXO1	NBN	pathways
EXO1	ATR	pathways
EXO1	ATRIP	pathways
EXO1	RPA2	pathways
EXO1	PCNA	pathways
EXO1	PMS2	pathways
EXO1	MSH2	pathways
EXO1	MSH3	pathways
EXO1	MLH1	pathways
EXO1	MSH6	pathways
COL4A3	COL4A4	pathways
PGF	FLT1	pathways
P4HA1	P4HB	pathways
P4HA1	COL10A1	pathways
P4HA1	COL3A1	pathways
P4HA1	COL1A2	pathways
P4HA1	COL1A1	pathways
PMS2	MLH1	pathways
PMS2	PCNA	pathways
PMS2	MSH3	pathways
PMS2	MSH2	pathways
PMS2	MSH6	pathways
PIK3R1	SHC1	pathways
PIK3R1	GRB2	pathways
PIK3R1	PTPN11	pathways
PIK3R1	VAV1	pathways
PIK3R1	FYN	pathways
PIK3R1	LCK	pathways
PIK3R1	EGFR	pathways
PIK3R1	ERBB2	pathways
PIK3R1	SRC	pathways
PIK3R1	CBL	pathways
PIK3R1	MET	pathways
PIK3R1	HGF	pathways
PIK3R1	PTK2	pathways
PIK3R1	PDGFRB	pathways
PIK3R1	PDGFRA	pathways
PIK3R1	VEGFA	pathways
PIK3R1	SOS1	pathways
PNKP	XRCC1	pathways
PNKP	NEIL1	pathways
PNKP	LIG3	pathways
MCM3	CDK2	pathways
MCM3	RPA2	pathways
MCM3	RPA4	pathways
MCM3	MCM10	pathways
MCM3	MCM4	pathways
MCM3	MCM7	pathways
MCM3	MCM2	pathways
MCM3	MCM6	pathways
MCM3	MCM5	pathways
MCM3	ATR	pathways
XRCC6	XRCC5	pathways
XRCC6	DCLRE1C	pathways
XRCC6	XRCC4	pathways
XRCC6	LIG4	pathways
XRCC6	H2AX	pathways
XRCC6	PAXIP1	pathways
XRCC6	MDC1	pathways
XRCC6	NBN	pathways
XRCC6	KAT5	pathways
XRCC6	ATM	pathways
XRCC6	TP53BP1	pathways
XRCC6	RNF8	pathways
XRCC6	RAD50	pathways
XRCC6	NHEJ1	pathways
PALB2	BRCA1	pathways
PALB2	BARD1	pathways
PALB2	RBBP8	pathways
PALB2	RAD51	pathways
PALB2	BRCA2	pathways
PALB2	XRCC2	pathways
PALB2	RAD51C	pathways
PALB2	RAD51D	pathways
PALB2	RAD51B	pathways
USP12	WDR48	pathways
USP12	WDR20	pathways
USP12	AR	pathways
FEN1	POLD1	pathways
FEN1	PCNA	pathways
FEN1	POLD2	pathways
FEN1	POLD3	pathways
FEN1	RPA2	pathways
FEN1	RAD50	pathways
FEN1	PARP1	pathways
FEN1	RBBP8	pathways
FEN1	NBN	pathways
FEN1	PRIM2	pathways
FEN1	POLA1	pathways
FEN1	POLA2	pathways
FEN1	PRIM1	pathways
MSH3	MLH1	pathways
MSH3	PCNA	pathways
MSH3	MSH2	pathways
PAXIP1	DCLRE1C	pathways
PAXIP1	KAT5	pathways
PAXIP1	ATM	pathways
PAXIP1	H2AX	pathways
PAXIP1	TP53BP1	pathways
PAXIP1	MDC1	pathways
PAXIP1	RAD50	pathways
PAXIP1	RNF8	pathways
PAXIP1	NBN	pathways
PAXIP1	XRCC5	pathways
PTK2	BCAR1	pathways
PTK2	CRK	pathways
PTK2	EGFR	pathways
