Representative	Represented
GO:0009653	GO:0048705
GO:0009653	GO:0003181
GO:0007049	GO:0007049
GO:0007049	GO:0000278
GO:0007049	GO:0022402
GO:0007049	GO:0044770
GO:0007049	GO:0051726
GO:0007049	GO:1903047
GO:0007049	GO:0010564
GO:0007049	GO:0044843
GO:0007049	GO:1901987
GO:0007049	GO:0010948
GO:0007049	GO:0007346
GO:0007049	GO:0045786
GO:0007049	GO:1901988
GO:0007049	GO:1902806
GO:0007049	GO:0051321
GO:0007049	GO:0045930
GO:0007049	GO:1901989
GO:0007049	GO:1902749
GO:0007049	GO:0045931
GO:0007049	GO:0045787
GO:0007049	GO:0044839
GO:0007049	GO:1903046
GO:0007049	GO:0090068
GO:0007049	GO:0061982
GO:0007049	GO:0007127
GO:0007049	GO:1902807
GO:0007049	GO:1902750
GO:0007049	GO:0140013
GO:0007049	GO:0000280
GO:0007049	GO:1902808
GO:0007049	GO:0007059
GO:0007049	GO:0051298
GO:0007049	GO:0007099
GO:0007049	GO:0007098
GO:0007049	GO:0070192
GO:0007049	GO:1902751
GO:0007049	GO:0045132
GO:0007049	GO:0098813
GO:0007049	GO:0007063
GO:0007049	GO:0007062
GO:0007049	GO:0046599
GO:0007049	GO:0010824
GO:0007049	GO:0033045
GO:0007049	GO:0045023
GO:0007049	GO:0070316
GO:0009607	GO:0009607
GO:0009607	GO:0051707
GO:0009607	GO:0043207
GO:0009607	GO:0098542
GO:0009607	GO:0002831
GO:0009607	GO:0045087
GO:0009607	GO:0002833
GO:0009607	GO:0032496
GO:0009607	GO:0071216
GO:0009607	GO:0002237
GO:0009607	GO:0009617
GO:0009607	GO:0071222
GO:0009607	GO:0071219
GO:0009607	GO:0009615
GO:0009607	GO:0051607
GO:0009607	GO:0140546
GO:0009607	GO:0034340
GO:0009607	GO:0071357
GO:0009607	GO:0042742
GO:0009607	GO:0098792
GO:0007154	GO:0007154
GO:0007154	GO:0007165
GO:0007154	GO:0009966
GO:0007154	GO:0010646
GO:0007154	GO:0009967
GO:0007154	GO:0002757
GO:0007154	GO:0010647
GO:0007154	GO:0002764
GO:0007154	GO:0050804
GO:0007154	GO:0099177
GO:0007154	GO:0048167
GO:0007154	GO:0097190
GO:0007154	GO:0098916
GO:0007154	GO:0007268
GO:0007154	GO:0099537
GO:0007154	GO:0050806
GO:0007154	GO:0099536
GO:0007154	GO:0048168
GO:0007154	GO:2001233
GO:0007154	GO:0030522
GO:0007154	GO:0009755
GO:0007154	GO:2001235
GO:0007154	GO:0010648
GO:0007154	GO:0009968
GO:0007154	GO:0007267
GO:0007154	GO:0001836
GO:0007154	GO:0090287
GO:0007154	GO:0035872
